,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at
43,Liberation (with Cee-Lo),"['Outkast', 'CeeLo Green']","['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'atl hip hop']","[78, 68]",Aquemini,8.772883333333333,1998,09,29,"['https://i.scdn.co/image/ab676161000051740cb3f95b9f8f7337e135a925', 'https://i.scdn.co/image/ab676161000051748079989370c50963b60ee7bc']",https://i.scdn.co/image/ab67616d00001e02377a6d2051b23afea65ee41a,Daniel Xenes,2022-02-03T15:21:18Z
44,Bambi,['Hippo Campus'],"['indie pop', 'indie poptimism', 'minneapolis indie', 'modern alternative rock', 'modern rock', 'pop rock']",[68],Bambi,3.24,2018,09,28,['https://i.scdn.co/image/ab67616100005174a6083ccfc09ae97298e8201d'],https://i.scdn.co/image/ab67616d00001e0282c6a08699bfd0e4bbe95001,Daniel Xenes,2022-02-03T15:21:18Z
45,Genghis Khan,['Miike Snow'],"['alternative dance', 'electropop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",[62],iii,3.5357666666666665,2016,03,04,['https://i.scdn.co/image/e1605db4634aca98dad3f5a3cfa4b2132dd540a1'],https://i.scdn.co/image/ab67616d00001e0206eda68098c2a886a43685a8,Daniel Xenes,2022-02-03T15:21:18Z
46,Keeping The Light On,['Joy Oladokun'],"['black americana', 'indie folk', 'la pop', 'neo mellow', 'new americana']",[65],Keeping The Light On,3.727133333333333,2022,01,21,['https://i.scdn.co/image/ab67616100005174493b20b408c17c46aec654e8'],https://i.scdn.co/image/ab67616d00001e02528badbecebc8d7ab7debf9d,Daniel Xenes,2022-02-03T15:21:18Z
47,Love Me More,['Mitski'],['brooklyn indie'],[84],Love Me More,3.5443333333333333,2022,01,12,['https://i.scdn.co/image/ab67616100005174afb309e27fdb45e093958f9c'],https://i.scdn.co/image/ab67616d00001e028eeda144d1419d398a5fb160,Daniel Xenes,2022-02-03T15:21:18Z
48,New Shapes (feat. Christine and the Queens and Caroline Polachek),"['Charli XCX', 'Christine and the Queens', 'Caroline Polachek']","['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop', 'art pop', 'electro-pop francais', 'electropop', 'metropopolis', 'shimmer pop', 'art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'indie pop', 'indietronica', 'pop']","[81, 64, 68]",New Shapes (feat. Christine and the Queens and Caroline Polachek),3.3447833333333334,2021,11,04,"['https://i.scdn.co/image/ab67616100005174576cb43281160e345f728b71', 'https://i.scdn.co/image/ab67616100005174a052b692f1df0aed70f59366', 'https://i.scdn.co/image/ab676161000051749ffd2f3e492944e4024eb61d']",https://i.scdn.co/image/ab67616d00001e02adf0ad39a8ba7c2b2cacc304,Daniel Xenes,2022-02-03T15:21:18Z
49,Feel It Still,['Portugal. The Man'],"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",[69],Woodstock,2.7208833333333335,2017,06,16,['https://i.scdn.co/image/ab6761610000517456fa4f89b05e3357652d5afd'],https://i.scdn.co/image/ab67616d00001e02af52c228c9619ff6298b08cd,Daniel Xenes,2022-02-03T15:21:18Z
50,Bruh,['Hovey Benjamin'],['meme rap'],[38],Bruh,3.38975,2017,06,16,['https://i.scdn.co/image/ab67616100005174505635d01f20d09efd4c892f'],https://i.scdn.co/image/ab67616d00001e021d412d7dc5413680b697bdfc,Daniel Xenes,2022-02-03T15:21:18Z
51,Wake Up,"['Kofi', 'Kama']",['canadian hip hop'],"[44, 34]",Wake Up,5.1111,2021,02,24,"['https://i.scdn.co/image/ab67616100005174ff24a3931ea259cb7fc6067a', 'https://i.scdn.co/image/ab67616100005174f581879c128e471923cbc8d3']",https://i.scdn.co/image/ab67616d00001e0278fdd0c10632666e26cd38cf,Daniel Xenes,2022-02-03T15:21:18Z
52,Contando Lunares (feat. Cruz Cafuné),"['Don Patricio', 'Cruz Cafuné']","['rap canario', 'trap latino', 'urbano espanol', 'rap canario', 'urbano espanol']","[65, 70]",La Dura Vida del Joven Rapero,3.6611,2019,01,27,"['https://i.scdn.co/image/ab676161000051749e855ed552647416afe0e9ed', 'https://i.scdn.co/image/ab676161000051743912a311272f7b3ce56b2551']",https://i.scdn.co/image/ab67616d00001e02dd84a038a86a6f50dbae8eb8,Daniel Xenes,2022-02-03T15:21:18Z
53,Personal,['Emotional Oranges'],"['alternative r&b', 'chill r&b']",[62],The Juice: Vol. I,3.7533333333333334,2019,05,10,['https://i.scdn.co/image/ab67616100005174846d942e38aa534f7d9f789a'],https://i.scdn.co/image/ab67616d00001e02dcb7411f4486a7be6882cbaf,Daniel Xenes,2022-02-03T15:21:18Z
54,Nightcall,['Kavinsky'],"['electro house', 'filter house']",[63],Nightcall,4.306883333333333,2010,,,['https://i.scdn.co/image/ab676161000051742dc7b3180bad1885c6ee1320'],https://i.scdn.co/image/ab67616d00001e02d6d8c2eaa1f9031b62f7a3f7,Daniel Xenes,2022-02-03T15:21:18Z
55,In The Room Where You Sleep,"[""Dead Man's Bones""]",[],[44],Dead Man's Bones,3.9471,2009,10,06,['https://i.scdn.co/image/ab6772690000dd2211c5d6438c554cc796c7a076'],https://i.scdn.co/image/ab67616d00001e02f2362e7be67a9c9e3e196e7b,Daniel Xenes,2022-02-03T15:21:18Z
56,Is It True,['Tame Impala'],"['australian psych', 'neo-psychedelic']",[82],The Slow Rush,3.9877666666666665,2020,02,14,['https://i.scdn.co/image/ab676161000051745a2dadeff50fa5c9ad9365c9'],https://i.scdn.co/image/ab67616d00001e0258267bd34420a00d5cf83a49,Daniel Xenes,2022-02-03T15:21:18Z
